Country name,year,Happiness score,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Colombia,2020,5.709,9.495,0.797,68.3,0.84,-0.085,0.8079999999999999
Comoros,2019,4.609,8.033,0.632,57.5,0.5379999999999999,0.077,0.762
Congo (Brazzaville),2019,5.212999999999999,8.101,0.625,58.5,0.6859999999999999,-0.046,0.741
Costa Rica,2019,6.997999999999999,9.885,0.9059999999999999,71.5,0.927,-0.146,0.836
Croatia,2019,5.626,10.258,0.9359999999999999,70.8,0.7390000000000001,-0.13699999999999998,0.932
Croatia,2020,6.507999999999999,10.166,0.9229999999999999,71.4,0.8370000000000001,-0.063,0.961
Cyprus,2019,6.1370000000000005,10.585,0.7759999999999999,73.9,0.74,-0.008,0.865
Czech Republic,2020,6.897,10.53,0.9640000000000001,71.3,0.9059999999999999,-0.127,0.884
Denmark,2019,7.693,10.954,0.958,72.7,0.963,0.02,0.174
Denmark,2020,7.515,10.91,0.9470000000000001,73.0,0.938,0.052000000000000005,0.214
Dominican Republic,2019,6.004,9.821,0.884,66.1,0.877,-0.12300000000000001,0.746
Dominican Republic,2020,5.167999999999999,9.802,0.8059999999999999,66.4,0.835,-0.128,0.636
Ecuador,2019,5.809,9.339,0.8079999999999999,68.8,0.83,-0.115,0.8390000000000001
Ecuador,2020,5.354,9.244,0.804,69.1,0.8290000000000001,-0.157,0.855
Egypt,2019,4.328,9.373,0.772,62.0,0.774,-0.19899999999999998,0.855
Egypt,2020,4.4719999999999995,9.383,0.6729999999999999,62.3,0.77,-0.11199999999999999,0.855
El Salvador,2019,6.455,9.08,0.764,66.4,0.877,-0.109,0.682
El Salvador,2020,5.462000000000001,9.019,0.696,66.7,0.924,-0.126,0.583
Estonia,2019,6.035,10.511,0.934,68.8,0.887,-0.096,0.5760000000000001
Estonia,2020,6.452999999999999,10.459000000000001,0.958,69.0,0.9540000000000001,-0.08199999999999999,0.39799999999999996
Ethiopia,2019,4.1,7.705,0.748,59.0,0.754,0.053,0.732
Ethiopia,2020,4.5489999999999995,7.711,0.823,59.5,0.769,0.188,0.784
Finland,2019,7.78,10.792,0.937,72.0,0.948,-0.052000000000000005,0.195
Finland,2020,7.888999999999999,10.75,0.9620000000000001,72.1,0.9620000000000001,-0.11599999999999999,0.16399999999999998
France,2019,6.69,10.74,0.958,74.0,0.8270000000000001,-0.133,0.568
France,2020,6.7139999999999995,10.642999999999999,0.9470000000000001,74.2,0.823,-0.16899999999999998,0.565
Gabon,2019,4.914,9.607000000000001,0.763,60.2,0.736,-0.203,0.846
Gambia,2019,5.164,7.699,0.6940000000000001,55.3,0.677,0.41,0.7979999999999999
Georgia,2019,4.8919999999999995,9.617,0.675,64.3,0.8109999999999999,-0.26,0.647
Georgia,2020,5.122999999999999,9.568999999999999,0.718,64.1,0.764,-0.221,0.583
Germany,2019,7.035,10.892999999999999,0.8859999999999999,72.5,0.885,0.057,0.462
Germany,2020,7.312,10.833,0.905,72.8,0.8640000000000001,-0.06,0.424
Ghana,2019,4.967,8.596,0.746,57.6,0.787,0.11599999999999999,0.857
Ghana,2020,5.319,8.59,0.643,58.0,0.8240000000000001,0.2,0.847
Greece,2019,5.952000000000001,10.319,0.8909999999999999,72.6,0.614,-0.289,0.848
Greece,2020,5.787999999999999,10.215,0.779,72.8,0.565,-0.24100000000000002,0.764
Guatemala,2019,6.2620000000000005,9.064,0.774,65.1,0.9009999999999999,-0.062,0.773
Guinea,2019,4.768,7.849,0.655,55.5,0.691,0.09699999999999999,0.7559999999999999
Honduras,2019,5.93,8.652999999999999,0.797,67.4,0.846,0.063,0.815
Hong Kong S.A.R. of China,2019,5.659,11.0,0.856,67.4,0.727,0.067,0.43200000000000005
Hungary,2019,6.0,10.392999999999999,0.9470000000000001,68.0,0.7979999999999999,-0.195,0.884
Hungary,2020,6.037999999999999,10.335,0.943,68.4,0.7709999999999999,-0.12,0.836
Iceland,2019,7.5329999999999995,10.931,0.982,73.0,0.9590000000000001,-0.12,0.6990000000000001
Iceland,2020,7.575,10.824000000000002,0.983,73.0,0.9490000000000001,0.16,0.644
India,2019,3.2489999999999997,8.818,0.561,60.5,0.8759999999999999,0.11199999999999999,0.752
India,2020,4.225,8.703,0.617,60.9,0.9059999999999999,0.075,0.78
Indonesia,2019,5.347,9.377,0.802,62.3,0.866,0.555,0.861
Iraq,2020,4.785,9.167,0.708,61.4,0.7,-0.021,0.8490000000000001
Ireland,2019,7.255,11.370999999999999,0.9440000000000001,72.4,0.892,0.07400000000000001,0.373
Ireland,2020,7.035,11.323,0.96,72.5,0.882,0.013999999999999999,0.35600000000000004
Israel,2019,7.332000000000001,10.600999999999999,0.946,73.5,0.8340000000000001,0.085,0.743
Israel,2020,7.195,10.538,0.9590000000000001,73.7,0.831,-0.049,0.748
Italy,2019,6.445,10.655,0.838,73.8,0.7090000000000001,-0.08199999999999999,0.866
Italy,2020,6.4879999999999995,10.562999999999999,0.89,74.0,0.718,-0.15,0.8440000000000001
Ivory Coast,2019,5.392,8.564,0.679,50.1,0.736,-0.017,0.799
